KodStacji,DsGlogWiStwo,DsJelGorSoko,DsLegAlRzecz,DsOlawZolnAK,DsOlesBrzozo,DsOsieczow21,DsPolKasztan,DsSzczaKolej,DsWalbrzWyso,DsWrocOrzech,DsWrocWybCon,DsZgorBohGet,OpKKozBSmial,OpKluczMicki,OpNysaRodzie,OpOpoleOsAKr,OpZdziePiast
01-Jan-2015,58.1415457122764,103.8,36.6,56.2,43.4,55.7,24.6,30.5,57.3,43.3,35.4,57.5,40.5,40.8,32.4,43.7091694964836,38.2
02-Jan-2015,22.4959043157282,21,20.3,28.1,14.2,23.6,6.8,10.5,17.6,14.6,15.4,22.3,16.4,15.8,16.5,18.9108344666858,15.9
03-Jan-2015,16.8306069503827,18.3,18.7,27.5,15.3,15.8,9.1,13.8,27.4,20.9,21.4,21.2,13.9,16.9,20.7,22.6796342969821,14.0532347499588
04-Jan-2015,9.93589946074106,10.3,13,9.1,13.1,9.4,7.3,9.7,17.2,10.4,13.1,10.3,9.6,14.9,16.8,13.3815618476906,17.5
05-Jan-2015,16.4736033781387,13.2,18.6,20.6,22,15.4,7.6,11.7,23.6,10.5,10.2,14.1,15.3,20.5,23,20.355145775617,35.3
06-Jan-2015,56.4749898806064,70.2,29.1,200.5,44.4,41.7,15.9,30,59.4,75.3,66.4,36.3,37.7,47.5,26.8,83.1947553020771,36.6
07-Jan-2015,67.2003519633401,103.3,42.7,132.6,63.8,56.6,22.5,51.6,38.3,39.2,30,64.6,70.8,33.4,40.1,68.1723612633866,59.8
08-Jan-2015,40.8587798311367,49.7,33.5,66.9,26.4,39.7,11.8,34.8,36.0248508720903,25.9,22.2,37.9,38.4,29.9,27.3,41.6569779084209,24.2
09-Jan-2015,12.9845940518568,11.4,11.2,18.1,10.4,13.1,5.4,9.7,14.9,10.8,11.6,12.5,11.2,12.7,16.5,15.3891544775683,39.2
10-Jan-2015,6.7,9.4,8.4,15.5,7.1,9.4,3.4,9.3,13.1,10.4,10.6,8.3,10.5,8,9.5,11.8766547948603,16.9
11-Jan-2015,12.1,14.3,14.5,23.3,12.2,13.8,7.7,12.6,17.1,14.5,19,13.1,11.4,16.5,17.6,18.2026296745609,14.6
12-Jan-2015,6,13.1,10.5,20.8,8.2,12.7,5.2,10.5,17.8,11.6,11.7,11.6,11.3,13.1,13.4,15.8349356054872,18.1
13-Jan-2015,8.1,10.2,11.5,34.8,8.5,12.7,5.6,12.4,18,14.5,11.7,14.3,13.7,10.7,19,22.0825731518536,15.8
14-Jan-2015,11,14.3,31.8,33.5,17.6,27.2,5.5,15.3,20.1,15.6,16.3,19.9,17.9,17.2,20.9,23.2957771098821,21
15-Jan-2015,12.6,13.8,15.2,53.6,17.8,19.2,7.3,25.1,20,16.9,9.9,18,20.9,15.4,20,30.4953399420307,24.3
16-Jan-2015,75.7,48.1,63.2,137.5,44.7,37.4,17.5,67.1,34.8,31.6,26.1,41.3,53.2,43.4,44.6,73.2399883364156,44.4
17-Jan-2015,47.1,46.1,52.8,107.6,48.7,47.7,20.9,39,55.7,37.7,41,54.6,46.3,42.5,49.1,65.1755212756694,56.9
18-Jan-2015,47.9,53.5,66.9,111.9,45.3,55.3,27.6,55.5,64.8,52.7,30.2,46.8,50.9,69.5,53.3,72.6303365880723,43.8
19-Jan-2015,41.7,89.8,46.4,75.7,43.3,38.1,42.6,40.6,94,48.8,46.4,36.8,40.8,67.3,53.3,65.3256479433068,64
20-Jan-2015,67.5,116.8,72.5,129.8,80.7,61.9,44.4,68.8,105.2,93.2,72.6,84.3,81.1,80.2,66,92.3593109458246,40
21-Jan-2015,35.2,58.2,37.6,100.5,60,51.5,19.1,33.4,68.8,46.3,45.8,52.4,55.3,42.1,40.2,61.7151437963752,51
