dn,PM252015_2019_1,PM252015_2019_2,PM252015_2019_3,PM252015_2019_4,PM252015_2019_5,PM252015_2019_6,PM252015_2019_7,PM252015_2019_8,PM252015_2019_9,PM252015_2019_10,PM252015_2019_11,PM252015_2019_12,PM252015_2019_13,PM252015_2019_14,PM252015_2019_15,PM252015_2019_16,PM252015_2019_17,PM252015_2019_18,PM252015_2019_19,PM252015_2019_20,PM252015_2019_21,PM252015_2019_22,PM252015_2019_23,PM252015_2019_24,PM252015_2019_25,PM252015_2019_26,PM252015_2019_27,PM252015_2019_28,PM252015_2019_29,PM252015_2019_30,PM252015_2019_31
NaT,9873,9978,9983,9984,9985,10013,10028,10085,10176,10197,10283,10347,10396,10399,10438,10449,10450,10456,10547,10586,12022,12029,12570,12574,12577,17122,17159,17162,20104,20157,30158
01-Jan-2015,59,71,33,119,77.8247625701061,67.3333333333333,46,78,64,63.3946217727881,50,77,86,64,86,42,78,48,74,60,78,23,49,65,55,56,54,33.6758902496211,70.3721607398898,62,69
02-Jan-2015,63,68,43,91,69.8692256163328,56,36,70,57,57.6472382467886,60,74,74,48,68,42,70,53,61,69,78,26,49,66,66,61,70,3,66.6176091888786,64,56
03-Jan-2015,67,65,53,63,61.9136886625595,19.0682340227051,26,62,50,51.8998547207891,70,71,62,32,50,42,62,58,48,78,78,29,49,67,77,66,86,8,62.8630576378674,66,43
04-Jan-2015,17,38,40,34,20.0346119784142,11.1020143538032,6,41,65,62.0758577405384,35,65,29,14,27,18,20,29,26,54,52,6,11,60,62,42,48,1,36.0829412993113,33,27
05-Jan-2015,28,20,21,27,29.9552761876549,22,20,16,31,29,18,18,20,21,36,27,30,15,27,26,27,12,21,18,29,23,24,3,20.2489155240755,14,14
06-Jan-2015,45,46,33,39,50.896296904728,11.9903102078329,34,68,38,38.9955893293073,44,44,44,29,36,39,51,33,39,44,46,27,32,39,40,45,56,19,45.0262390068263,33,25
07-Jan-2015,67,58,49,50,54.9412754271739,18.3510459329203,55,102,61,62.787091817728,77,71,64,43,52,49,55,49,50,71,77,31,49,64,70,75,76,26,57.8464350170064,63,34
08-Jan-2015,43,59,62,46,48.0221893076239,17.7867424173861,34,69,60,76,66,79,51,39,51,47,48,52,42,74,87,31,34,78,79,61,79,11,57.3540216727547,62,42
09-Jan-2015,57,58,60,59,55.0089724030484,15.0135499774502,38,75,51,84,72,62.8603338305462,64,45,57,39,55,56,62,82,86,27,37,52.9654239641743,88,66,77,8,57.8977290284274,70,65
10-Jan-2015,38,60,31,76,74.8669966711912,10.2626517401534,29,87,52,55,40,55.802571674284,37,44,53.7880605570544,42,75,39,47,67,72,24,42,29.3872287979815,72,41,76,3,57.5474559933025,41,71
11-Jan-2015,36,50,36,75,56.9089564688364,8.89927052242256,35,71,39,33,55,40.7688710475297,44,37,29,25,57,37,48,32,27,24,28,32.2996428286511,33,60,26,4,49.2937055169458,33,76
12-Jan-2015,21,21,22,28,25.955174573744,5.77737814112031,17,21,2.87816858664425,17,25,14,20,17,29,17,26,20,22,24,26,8,20,19.2446954895361,18,22,19,2,20.9290928099028,21,20
13-Jan-2015,47,41,36,43,51.9313103401529,10.0753430874642,42,35,42,44,57,41.2938647450118,45,38,40.095857777821,40,52,36,45,40,51,21,27,42,42,54,40,6,41.5392729091421,42,32
14-Jan-2015,74,65,42,71,61.8308150518733,13.9561934343167,38,56,64,63.8538675683311,66,61.2213312967181,75,40,47.9132447021784,37,62,40,60,61,62,29,44,56,53,65.713286447244,62,5,63.9725534280801,46,51
15-Jan-2015,50,61,42,62,48.9539922937189,12.8798084429269,35,55,58,58.1699498197807,62,56.9995382704195,50,26,30.7789483334597,38,49,53,41,71,71,23,36,60,65,63,63.1311409103967,6,58.6955159176269,56,40
16-Jan-2015,56,42,68,44,57.9461909411221,15.4535416767243,25,34,58,68,55,56,45,28,26.6098744434585,28,58,50,39,56,68,19,25.7592838385529,93,62,61,58.5414296123913,8,41.5756929911332,83,35
17-Jan-2015,14,17,23,18,32.9275673492492,15,10,16,17,14,24,13,15,13,18.5767196857341,11,33,27,19,28,33,5,11,38,25,25,26,10,16.9445950263759,29,10
18-Jan-2015,19,28,17,27,27.9681447857403,7.32653100747057,17,21,32,25,29,30,24,18,20.2093817792963,13,28,22,27,31,31,22.0930600128267,15,20,24,27,29,0,27.4437832069924,22,26.858625865596
19-Jan-2015,36,39,33,37,33.9854802579507,8.30875304498073,28,23,38,34,47,35.3856465549796,37,29,33.7561294296459,24,34,29,39,51,46,13,19,42,40,42,46,8,38.6763936700823,32,36.8521450530029
20-Jan-2015,45,47,35,48,34.9614946416569,10.2683140588055,38,38,50,47,47,47.5872444113486,46,34,35.1545430137451,18,35,37,49,55,53,14,27,55,47,46.3857291802345,46,18.8256154284801,46.5861717252294,44,30
21-Jan-2015,26,33,33,37,1,11.1363048018762,16,26,48,41,38,41,39,25,31,17,45,33,25,49,52,14,15,44,52,33,44,4,32.4187108389418,43,28
22-Jan-2015,17,22,13,35,50.8599474062196,5.08382586686821,11,24,30,21,31,25.1482905913362,26,15,48,12,51,18,21,28,24,13,14,24,23,26,26,4,21.8679933398169,20,23
23-Jan-2015,22,31,21,48,40.9280891184976,31,25,23,35,27,39,29.6792776848353,41,25,25,17,41,22,35,30,32,10,22,27,30,34,33,4,31.3075930527749,22,29
24-Jan-2015,24,40,24,45.0856761367294,34.9907687620225,10.7484531179182,24,17,38,37,54,31,42,24,26,16,35,35,28,33.7986294833041,47,5,24,37,42,47,57,2,39.2038586809195,46,18
25-Jan-2015,0,33,20,14.9629335136489,10.0512250225762,4.33463520478563,6,12,38,37,14,30.3915527228369,11,8,23,12,10,24,16,39,33,2,9.39295306334641,32,40,8,37,7,30.3254778246892,15,13
26-Jan-2015,25,24,16,16,22.9626082278375,5.11294330977103,23,16,19,10,23,12.9833031709369,22,23,23,20,23,19,19.9147144928616,20,25,9,16,14.3801397565071,17,20,20,3,23.7319047572256,22,11
27-Jan-2015,40,51,28,52,34.011734043545,12.4358928788749,38,35,40,38,59,28,53,37,20,18,34,41,34.1393763656487,51,47,20,19,40,37,57,62,8,49.9967413947741,40,51.5449368582152
28-Jan-2015,28,57,23,58,29.0390181741193,12.1672360615208,34,31,46,48,54,45,52,32,26,17,29,32,38,53,47,15,24,45,48,42,47,9,55.0729708060416,28,43
29-Jan-2015,45,42,28,50,41.9817795285431,13.2794223873834,30,40,49,52,53,40,50,42,43.3993634307086,31,42,41,43,54,54,27,33,43,50,49,59,12,42.2139834611275,48,33
30-Jan-2015,34,32,20,43,35.9466109280982,7.1604963076914,15,38,30,27,33,31.447475650769,38,33,28.7337366640097,33,36,22,33,30,32,15,24,35,29,31,31,8,31.8762616962979,23,34
31-Jan-2015,29,30,16,26,26.9840653777247,6.87738694964335,20,24,31,29,36,26.5101582938339,34,26,18,26,27,23,29,32,34,14,23,15.0438412135759,28,31,34,9,29.8909492075903,23,17
01-Feb-2015,26,48,33,46,34.9929409858439,11.8044428268552,23,38,36,32,44,43,42,29,23,24,35,36,33,49,53,12,28,29.4169426473443,46,43,46,11,46.270905941074,39,32
02-Feb-2015,20,39,10,44,29.0053444919931,26,30,45,46,51,36,46,31,28,24,18,29,23,26,38,33,4,19,10.5889648247195,38,29,36,3,37.8224464301424,12,33
03-Feb-2015,46,45,38,39,38.0019479222089,13.1587828792485,41,34,45,52,48,48,40,36,25,26,38,41,38,53,59,21,30,33.7352876922889,52,48,52,16,44.3962939759646,54,30
04-Feb-2015,24,46,29,24.4662648092568,45.9240538593219,9.75041599233904,43,17,24,18,44,22,38,39,37,21,46,32,53,45,50,40.4106765963771,27,26.3583606685262,41,37,51,3,45.8217292881017,24,36
05-Feb-2015,18,23,10,9.2822737828172,48.8366667575462,4.75423329874325,22,11,11,8,16,9,23,27,45,19,49,14,30,14,17,19,22,19,12,11,20.2579116098063,19.4032305932372,23.1890749890464,9,23
06-Feb-2015,22,22,8,32,33.9005720081429,5.17565933423072,32,13,9,4,20,7,27,36,51,24,34,14,36,18,20,23,19.5618606782769,12,9,17,18.9691340228924,7,23.1251416666853,8,24
07-Feb-2015,20,25,18,20.0222345039056,34.9300151970487,7.5414941407124,27,20,25,21,22,24,26,27,28,24,35,22,34,31,41,19,26,24,30,20,32.198267407637,7,25.3916274394082,20,20
08-Feb-2015,14,39,23,30.8274161856211,20.0380907768163,8.99313999857251,30,39,34,38,40,41,32,33,16,17,20,31,50,47,23,5,18,30,41,31,32.5182651979719,9,38.9606714651856,31,38
09-Feb-2015,40,51,34,42.8317367175422,36.0020088236301,13.4675757106688,50,37,45,41,51,44,38,38,27,28,36,49,46,56,62,18,26,51,50,44,52.111464508516,5,50.193198421493,43,37
10-Feb-2015,53,80,30,65,58.0202118826896,20.7949340241884,66,66,73,81,81,81,67,59,25,46,58,63,80,91,96,31,54,49,84,76,75,3,78.9659331753048,56,57
11-Feb-2015,75,94,54,90,57.0862056209511,25.2920472875807,76,88,86,98,96,103,76,75,29,59,57,79,83,120,108,33,57,89,118,88,107,8,92.4053843321129,88,72
12-Feb-2015,86,94,61,87,66.0565642911203,25.5777639922607,76,100,67,73,134,99,79,63,34,68,66,82,76,101,100,50,71,85,122,113,101,24,92.7415703387901,83,75
13-Feb-2015,105,112,97,79,94.9446639672504,28.9253782665543,90,54,51,41,156,96,81,82,62,102,95,101,86,139,129,69,85,140,150,113,124,4,110.073125657377,115.752738988619,81
14-Feb-2015,44,55,63,57,84.7713411061636,40,33,54,52,52,53,57,40,42,57,39,85,84.548829659261,49,88,81,34,42,105,86.6651390880754,47,78,35.9696026421355,53.6341133990257,90,66
15-Feb-2015,18,18,14,15,33.9330395009558,4.35672372794571,4,19,29,26,24,22,18,12,31,20,34,33.8650912404513,20,33,32,17,12,21,37,16,28,14.8659823763081,17.7847257205997,15,11
16-Feb-2015,20,20,19,18,29.9485575783253,5.53674205010561,13,17,26,19,29,22,28,19,25,20,30,29.9047985877429,18,43,41,13,18,22,37,18,37,13.4022377084002,20.1378409549192,21,14
17-Feb-2015,27,35,36,28,34.9799496678444,7.97347646038696,39,27,36,30,43,37,39,31,18,26,35,34.9699670197024,34,56,55,19,27,40,50,40,54,13,35.2199604871852,35,24
18-Feb-2015,41,46,44,48,53.9146327193446,5.17112242885116,46,43,29,30,48,36,40.9547261034104,40,31,51,54,53.844178394618,48,54,54,36,43,58,53,44,55,35.8259798441031,45.8673125743906,43,40
19-Feb-2015,61,63,40,54,56.9499396489314,10.3266263414164,66,61,41,46,72,50,55.173263069719,59,25,45,57,39,66,52,59,39,56,55,52,66,71,25,63.0900543916515,57,56
20-Feb-2015,57,29.4895512168493,45,74,53.9689753667115,11.6896561544284,48,73,39,74,64,79,51.7938283042092,55,32,39,54,33,55,60,69,29,43,65,76,63,67,26,32.6591514144895,60,68
21-Feb-2015,47,12.1737221423457,38,42,65.9154254760751,16.3911397276104,22,73,81,92,52,83,43,32,44,46,66,43,42,73,80,28,32,63,90,52,73,5,15.5232944980629,53.564383831115,38
22-Feb-2015,8,4.32176724151416,12,17,30.9124168513183,4.34706340141117,5,16,24,16,12,17,15,12,14.6880444438058,12,31,12,8.77574723792265,18,23,4,10,11.1653466803732,22,13,20,3,5.09011609304888,13,11
23-Feb-2015,24,5.47779677420612,17,32,30.9513210864968,8.63478077890656,11,25,31,28,31.8777729870738,27,33,28,29.6658159728191,20,31,24,28,41,43,13,16,22,33,34,43,3,8.15719385500646,30,19
