KodStacji,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocNaGrob,DsZgorBohGet,OpKluczMicki,OpOpoleOsAKr
01-Jan-2015,26.7,19.9,30.4,44.2,26.3,23.2,32.2
02-Jan-2015,16.8,5.8,12.2,21.4,9.8,8.6,18.8
03-Jan-2015,11,5.2,14,15.2,7.4,4.8,11.4
04-Jan-2015,7.7,4.7,7.4,8.9,8.3,4.6,8.2
05-Jan-2015,13.6,5.4,7,13.8,13.1,3.9,20.4
06-Jan-2015,22.5,13.8,55.5,29.7,32.7,12.4,10.7
07-Jan-2015,32.6,20.6,25,60.7,23.9,32.8,55.2
08-Jan-2015,28.9,11.4,17.3,31.4,21.4,24.9,53.6
09-Jan-2015,6.9,3.8,7,8,6.8,3.8,14.2
10-Jan-2015,6.3,2.2,7.4,8.9,4.1,5.3,15.4
11-Jan-2015,7.8,4.3,9.2,5.73447839370853,6,4.4,7.9
12-Jan-2015,7.3,3.7,9,5.31442727652163,8,3.9,17
13-Jan-2015,8.8,3.9,8.8,10.5,6.6,4.4,16.1
14-Jan-2015,23.1,4,11,13.1,10.2,5.2,16.5
15-Jan-2015,11.5,6,7.9,13.6,9.1,11.9,21.2
16-Jan-2015,49.4,15.5,23.2,31.6,25.7,18.9,41.1
17-Jan-2015,41.6,18,36.2,41.5,24.6,32,63.1
18-Jan-2015,52.5,22.2,25.4,36.3,40.9,30.5,56.3
19-Jan-2015,35.9,31.9,41.2,29.7,44.9,34.2,43
20-Jan-2015,56,36.6,64.3,64.6,55.7,20.3,21.4
21-Jan-2015,30,18.4,41.6,45,30.1,29.6,50.84319
22-Jan-2015,51.2,44.4,66.1,47.5,54.7,37.5,53.846933
23-Jan-2015,45.7,21.5,23.8,49.7,31.6,25.4,55.055939
24-Jan-2015,32.2,18.9,29.5,29,29.1,24.3,49.364795
25-Jan-2015,22.6,13.3,17.8,22.8,22.3,29.9,41.321251
26-Jan-2015,30.5,14,14.6,22.8,18.9,15,44.278419
27-Jan-2015,13.8,2.9,9.9,15.4,12.9,24.2,47.495368
28-Jan-2015,16.3,7.2,10.1,15,14.5,12.8,27.515689
29-Jan-2015,12.2,5.9,11.2,14.3,11.9,11.6,29.442065
30-Jan-2015,16.5,8.5,14.6,17.2,14.8,22.2,31.235475
31-Jan-2015,14.1,9.1,17.3,21,14.2,16.4,38.345918
01-Feb-2015,39.4,16.9,18.9,25.9,20,19.8,40.978454
02-Feb-2015,20.5,12.3,29.5,33.4,14.6,23,46.945052
03-Feb-2015,29.8,11.3,17.8,26.2,17.5,17.6,56.900423
04-Feb-2015,22.3,8.9,20.2,27.2,24.8,28.5,75.927102
05-Feb-2015,51.3,34.8,34.6,45.4,34.1,65.1,103.65717
06-Feb-2015,40.2,35.3,41,37,37.7,32.2,67.96625
07-Feb-2015,32.3,25.7,34.8,36.4,27.8,18.9,37.688464
08-Feb-2015,12.1,5.8,9.7,8.3,9.2,4.8,39.775678
09-Feb-2015,10.8,4.9,6.6,9.2,12.1,8.1,44.656689
10-Feb-2015,12.7,5.1,7.5,12,14.2,8.9,33.376564
11-Feb-2015,29,9,21,22.3,24.7,9.6,41.415341
12-Feb-2015,81.6,27.7,17.2,23.8,23.3,28.4,53.31703
13-Feb-2015,95.5,66.7926835713888,22.6,37.5,24.1,67.2,109.096762
14-Feb-2015,68.4,62.2,23.4,43.1,52.3,59.5,104.246684
15-Feb-2015,63.1,62.7,65.1,64.7,54.1,64.2,71.335108
16-Feb-2015,41.5,49.2,86.7,34.4,51.7,14.9,15.635062
17-Feb-2015,45.9,31.3,52.4,42.8,38.7,20.6,23.104471
18-Feb-2015,50.7,36.3,37.6,59.3,39.6,51,63.498507
19-Feb-2015,74.3,36.3,37.6,75.4,36.5,28.8,45
20-Feb-2015,69.2,31.6,33.5,63,31.6,45.7,78.4
21-Feb-2015,42.1,22.9,42.8,49.3,32,41,53.7
22-Feb-2015,58,18.6,51.5,56.8,36.1,23.1,53
23-Feb-2015,34.9,22.5,47.2,47.7,26.9,43.2,62.1
24-Feb-2015,35.8,14.1,30.2,34.5,18.9,22.3,62.3
25-Feb-2015,37.6,24.6,30.7,32.1,34.1,39.2,120.3
26-Feb-2015,43.4,41.2,55.3,43.7,49.9,44.2,71.6
